background	FASN_negative	FASN_positive
TMEM68	TMEM68	SLC20A1
LDHB	LDHB	RPL14
TMED9	TMED9	CDV3
UBE2K	UBE2K	TRMT1
TMED10	TMED10	PGLS
WSB2	WSB2	HIST1H3B
GGNBP2	GGNBP2	FIS1
TEAD1	TEAD1	TAX1BP3
VEZF1	VEZF1	EDF1
KEAP1	KEAP1	TRPM7
ALG5	ALG5	PGP
YTHDF2	YTHDF2	CDC25A
SURF4	SURF4	PA2G4
VPS16	VPS16	HYPK
SESN2	SESN2	LRRC41
ATAD3A	ATAD3A	UBP1
C15orf57	C15orf57	IRF2
GANAB	GANAB	USP22
PTPLB	PTPLB	EIF2AK4
UGP2	UGP2	SLC16A10
RNF7	RNF7	WDR24
HDAC3	HDAC3	PAPSS2
MIB1	MIB1	UBE2G1
PAXIP1	PAXIP1	MED19
RABGEF1	RABGEF1	SPTLC1
WWOX	WWOX	WDR43
CNOT11	CNOT11	MAPKAPK5
MCM9	MCM9	EIF4B
KHDRBS1	KHDRBS1	MAPK6
CABIN1	CABIN1	XPO4
UBE2J1	UBE2J1	CLPB
C19orf25	C19orf25	ZC3H15
TGIF2	TGIF2	PIK3CA
CHD1	CHD1	PSMD7
DNAJB9	DNAJB9	KMT2A
SEC23IP	SEC23IP	RAB14
UBE2J2	UBE2J2	CSRP2BP
ITGB1	ITGB1	KDSR
EDC3	EDC3	LAMTOR2
BOLA3	BOLA3	RRAGA
TMEM30A	TMEM30A	RPL27
C20orf24	C20orf24	RPS23
UBR4	UBR4	ZNF574
SOX12	SOX12	PDCD5
GOLGA7	GOLGA7	DNAJA1
KIF23	KIF23	ARNT
SLC25A13	SLC25A13	CDK2
SMC3	SMC3	EXOSC1
SMS	SMS	NKTR
EIF1	EIF1	UBE4A
DPM1	DPM1	PDGFRA
LSM6	LSM6	AHCYL1
FECH	FECH	OLA1
BCL2	BCL2	CHD8
NAMPT	NAMPT	SLC3A2
XRN1	XRN1	CGGBP1
EIF3K	EIF3K	LAMTOR4
SYS1	SYS1	NASP
PSMF1	PSMF1	RPS3A
ATP13A1	ATP13A1	CCNA2
MANF	MANF	ELAVL1
TAF4	TAF4	HNRNPR
TLK2	TLK2	CDK13
TRAPPC13	TRAPPC13	C11orf73
TRIP13	TRIP13	BRPF3
C11orf30	C11orf30	ARID2
VPS37A	VPS37A	TPT1
PC	PC	ZNF622
NUBPL	NUBPL	RERE
SLC52A2	SLC52A2	WDR59
TGFBR1	TGFBR1	RPL36
PRPF19	PRPF19	FBXO11
GGPS1	GGPS1	EIF3J
KCMF1	KCMF1	HEATR3
PLCG1	PLCG1	TRIM28
SUGP1	SUGP1	MIOS
HNRNPF	HNRNPF	ZNF236
WDR82	WDR82	YLPM1
VPS54	VPS54	CCDC51
MBTPS1	MBTPS1	ZC3H7A
PDCD6IP	PDCD6IP	GPATCH4
EXT1	EXT1	SLTM
UROS	UROS	DPH5
SEC16A	SEC16A	C10orf12
SEL1L	SEL1L	NELFE
RAB1A	RAB1A	C19orf43
TAF3	TAF3	STIP1
STT3B	STT3B	TADA3
AUP1	AUP1	UBE2R2
TECR	TECR	TADA2A
PRMT1	PRMT1	ERI1
GPHN	GPHN	UBA3
GNA13	GNA13	TCEB3
EDEM3	EDEM3	HDLBP
EDC4	EDC4	PIK3CB
COIL	COIL	MAPKAP1
RAB3GAP1	RAB3GAP1	RQCD1
MPC1	MPC1	CDK4
HNRNPA1	HNRNPA1	TSC22D2
DMAP1	DMAP1	MED1
USP3	USP3	MBD3
SYVN1	SYVN1	HEATR1
SAFB	SAFB	SP1
TIPARP	TIPARP	PSMD2
C1orf35	C1orf35	C1orf115
RFX7	RFX7	ATXN2L
ROMO1	ROMO1	ALKBH8
LIN37	LIN37	AHR
ETAA1	ETAA1	RPS15A
NAA30	NAA30	PTDSS1
PLEKHA3	PLEKHA3	HTRA2
NAA40	NAA40	PFKP
ARIH2	ARIH2	NRBP1
UFSP2	UFSP2	RPS18
FITM2	FITM2	EIF4A1
TMEM165	TMEM165	NF2
HIRA	HIRA	C19orf53
TBC1D7	TBC1D7	USP1
GPS2	GPS2	DPH1
NMNAT1	NMNAT1	RPS10
SLC6A8	SLC6A8	IPO9
RBM27	RBM27	TTC4
AURKA	AURKA	ATIC
GTPBP1	GTPBP1	ZNRD1
PGM3	PGM3	MGA
RAB5C	RAB5C	IER3IP1
DEPDC5	DEPDC5	WNK1
DIS3L2	DIS3L2	VDAC1
EP300	EP300	UBE3D
VDAC2	VDAC2	SPTLC2
SFXN1	SFXN1	SLC4A7
KMT2C	KMT2C	ING5
ITFG2	ITFG2	RPRD1A
ZC3H18	ZC3H18	CELF1
C1orf43	C1orf43	ELF2
NDST1	NDST1	ATF4
KCNK2	KCNK2	TAF6L
USP9X	USP9X	MED13
MGAT1	MGAT1	DPH2
SENP8	SENP8	MLST8
GIGYF2	GIGYF2	HK2
KIF22	KIF22	CDK6
GET4	GET4	MTX1
SLC35A2	SLC35A2	DYRK1A
AIG1	AIG1	RPLP2
GTF2E2	GTF2E2	FAM122A
SCAF1	SCAF1	GCN1L1
CXorf56	CXorf56	RICTOR
GSS	GSS	TAZ
FANCD2	FANCD2	PBRM1
EEF1A1	EEF1A1	ZBTB2
KDM5A	KDM5A	THRA
PIK3R2	PIK3R2	MYLIP
MATR3	MATR3	LAMTOR5
GFPT1	GFPT1	RPRD1B
ATL2	ATL2	CYB5B
BRD4	BRD4	PELO
MSL1	MSL1	EIF4G1
DDX6	DDX6	MEAF6
CNNM3	CNNM3	CCDC101
MOCS1	MOCS1	NSUN2
C1orf27	C1orf27	SUPT20H
C16orf72	C16orf72	BRD7
SMC6	SMC6	PARN
CPEB1	CPEB1	TAF5L
RBM3	RBM3	MBNL1
RAD51AP1	RAD51AP1	CDK8
GPBP1	GPBP1	TADA2B
SZRD1	SZRD1	HSPA14
PFN1	PFN1	MED12
XRCC2	XRCC2	STRAP
ALG6	ALG6	RPS25
TMED2	TMED2	SCD
VPS72	VPS72	TADA1
SLC35A1	SLC35A1	SBDS
HNRNPA3	HNRNPA3	CCNC
WAPAL	WAPAL	NA
UBA6	UBA6	NA
TMEM147	TMEM147	NA
ZNF318	ZNF318	NA
KPTN	KPTN	NA
PAGR1	PAGR1	NA
TRAPPC2L	TRAPPC2L	NA
CSNK2A1	CSNK2A1	NA
EXT2	EXT2	NA
UBE2V2	UBE2V2	NA
MAD2L1BP	MAD2L1BP	NA
HNRNPA2B1	HNRNPA2B1	NA
PPP2R5D	PPP2R5D	NA
PHF8	PHF8	NA
SEC63	SEC63	NA
MRPS9	MRPS9	NA
PARP1	PARP1	NA
CDC40	CDC40	NA
EIF4E2	EIF4E2	NA
ASNS	ASNS	NA
WAC	WAC	NA
ARID5B	ARID5B	NA
GPR107	GPR107	NA
POLA1	POLA1	NA
RNF19B	RNF19B	NA
NBAS	NBAS	NA
CD2BP2	CD2BP2	NA
TYMS	TYMS	NA
MARK3	MARK3	NA
TANC2	TANC2	NA
HIST1H1E	HIST1H1E	NA
INO80D	INO80D	NA
ANKRD11	ANKRD11	NA
UFL1	UFL1	NA
ARL15	ARL15	NA
UCHL5	UCHL5	NA
ZNF281	ZNF281	NA
STK11	STK11	NA
BAZ1A	BAZ1A	NA
SPEN	SPEN	NA
C2CD5	C2CD5	NA
ARHGEF4	ARHGEF4	NA
INTS6	INTS6	NA
TGIF1	TGIF1	NA
SUZ12	SUZ12	NA
RABIF	RABIF	NA
CDC16	CDC16	NA
TRAPPC12	TRAPPC12	NA
RAD50	RAD50	NA
SPNS1	SPNS1	NA
NAA50	NAA50	NA
DPM3	DPM3	NA
LPIN3	LPIN3	NA
WDR7	WDR7	NA
PRKAB1	PRKAB1	NA
NKX2-1	NKX2-1	NA
PPP2R5E	PPP2R5E	NA
MINPP1	MINPP1	NA
GSR	GSR	NA
ANKRD32	ANKRD32	NA
COA6	COA6	NA
RNMTL1	RNMTL1	NA
GALE	GALE	NA
PPP2R2A	PPP2R2A	NA
NADK2	NADK2	NA
CNOT6	CNOT6	NA
STX18	STX18	NA
FBXL5	FBXL5	NA
LARP1	LARP1	NA
TAOK1	TAOK1	NA
PCNT	PCNT	NA
RABGGTA	RABGGTA	NA
PCBP2	PCBP2	NA
EFNA5	EFNA5	NA
MED26	MED26	NA
CAND1	CAND1	NA
NSMCE2	NSMCE2	NA
WBSCR16	WBSCR16	NA
SRD5A3	SRD5A3	NA
HELZ	HELZ	NA
PRELID1	PRELID1	NA
SEC14L1	NA	NA
SETDB1	NA	NA
PKMYT1	NA	NA
CYP1A1	NA	NA
RBM5	NA	NA
HEXIM1	NA	NA
TRA2A	NA	NA
DHX36	NA	NA
TEN1	NA	NA
TIPRL	NA	NA
MARCH5	NA	NA
SRF	NA	NA
TRUB2	NA	NA
ZC3HC1	NA	NA
C17orf53	NA	NA
PRIM1	NA	NA
BAHD1	NA	NA
GOT2	NA	NA
MPLKIP	NA	NA
GLS	NA	NA
ITPA	NA	NA
CSNK2A2	NA	NA
SYF2	NA	NA
RAD51C	NA	NA
MLYCD	NA	NA
HAL	NA	NA
ADSL	NA	NA
C16orf87	NA	NA
CLEC14A	NA	NA
HNRNPL	NA	NA
OSGEP	NA	NA
CCDC120	NA	NA
FAM208A	NA	NA
GLTSCR1	NA	NA
ECHS1	NA	NA
OAZ2	NA	NA
CTPS1	NA	NA
CSK	NA	NA
ANAPC10	NA	NA
FANCA	NA	NA
SEC61B	NA	NA
TFPT	NA	NA
RBM42	NA	NA
PABPC1	NA	NA
DTX2	NA	NA
CCDC47	NA	NA
SIN3B	NA	NA
PLAA	NA	NA
PPP5C	NA	NA
LUZP1	NA	NA
PPP2CA	NA	NA
SPHK2	NA	NA
SMG7	NA	NA
XPO6	NA	NA
AGPAT1	NA	NA
NDUFA11	NA	NA
NCLN	NA	NA
CBX4	NA	NA
PI4KA	NA	NA
ETV3	NA	NA
DHX35	NA	NA
FLNA	NA	NA
ZNF106	NA	NA
EIF2B4	NA	NA
NSMCE1	NA	NA
EXOC7	NA	NA
EZH2	NA	NA
PRRC2B	NA	NA
UFM1	NA	NA
MMS22L	NA	NA
SALL1	NA	NA
EIF3L	NA	NA
GNB1L	NA	NA
BRD8	NA	NA
ABHD11	NA	NA
FASTKD5	NA	NA
CDK9	NA	NA
PAPD4	NA	NA
SAMD14	NA	NA
LENG8	NA	NA
OS9	NA	NA
DTL	NA	NA
RMND1	NA	NA
RAD51	NA	NA
TRAPPC1	NA	NA
ARCN1	NA	NA
NUMA1	NA	NA
MESDC2	NA	NA
RFT1	NA	NA
PRKAA1	NA	NA
KDM5C	NA	NA
RPUSD3	NA	NA
DHDDS	NA	NA
TMF1	NA	NA
NDUFA8	NA	NA
BRIP1	NA	NA
SMURF1	NA	NA
OR4K2	NA	NA
KAT5	NA	NA
ATP6V1E1	NA	NA
TICRR	NA	NA
LIPT2	NA	NA
SMARCAL1	NA	NA
NF1	NA	NA
SDHAF1	NA	NA
SBNO2	NA	NA
FZD8	NA	NA
PTOV1	NA	NA
SCFD1	NA	NA
SRBD1	NA	NA
CHTF8	NA	NA
PPIE	NA	NA
SRPR	NA	NA
ING3	NA	NA
KDM2A	NA	NA
YTHDC2	NA	NA
COG2	NA	NA
SLC1A5	NA	NA
DNAJC14	NA	NA
SSU72	NA	NA
CNGA3	NA	NA
LARP7	NA	NA
PABPN1	NA	NA
CHRNB4	NA	NA
POLA2	NA	NA
GARS	NA	NA
EXTL3	NA	NA
GPR137	NA	NA
RANBP1	NA	NA
OGDH	NA	NA
EED	NA	NA
TRAPPC3	NA	NA
GCSH	NA	NA
GPX4	NA	NA
RECQL5	NA	NA
GTF3C5	NA	NA
PHTF2	NA	NA
U2SURP	NA	NA
USP37	NA	NA
ZCCHC8	NA	NA
ENY2	NA	NA
RPF2	NA	NA
FAM13B	NA	NA
CHAF1A	NA	NA
MVK	NA	NA
NUBP1	NA	NA
RBM10	NA	NA
SASS6	NA	NA
HSF5	NA	NA
PIK3C3	NA	NA
HOXB1	NA	NA
RBM18	NA	NA
VPS33A	NA	NA
SRSF2	NA	NA
PARL	NA	NA
RLIM	NA	NA
LAMP1	NA	NA
RP11-93B14.6	NA	NA
KDM6A	NA	NA
PRKAG1	NA	NA
CLPTM1	NA	NA
PPIL1	NA	NA
GTF2H1	NA	NA
VPS53	NA	NA
DIDO1	NA	NA
LMBR1	NA	NA
EMC2	NA	NA
CNOT1	NA	NA
EMC1	NA	NA
ATP6V1B2	NA	NA
TMEM251	NA	NA
EDEM2	NA	NA
MARK2	NA	NA
C15orf40	NA	NA
PPP2R4	NA	NA
SEC31A	NA	NA
GPKOW	NA	NA
KPNA3	NA	NA
CBL	NA	NA
CAPRIN1	NA	NA
C3orf58	NA	NA
DAZAP1	NA	NA
KIAA0195	NA	NA
ATMIN	NA	NA
ABCD3	NA	NA
NT5C2	NA	NA
PFDN1	NA	NA
DDX54	NA	NA
PEAK1	NA	NA
XYLT2	NA	NA
PRC1	NA	NA
PPIG	NA	NA
MRPS35	NA	NA
MEX3A	NA	NA
ATM	NA	NA
NEDD8	NA	NA
CARS2	NA	NA
OXSM	NA	NA
RSBN1L	NA	NA
CDK5RAP3	NA	NA
DEGS1	NA	NA
MCM10	NA	NA
GTF2H5	NA	NA
RC3H2	NA	NA
ATG9A	NA	NA
C17orf104	NA	NA
SNRNP70	NA	NA
POU2F1	NA	NA
CD53	NA	NA
SMEK1	NA	NA
SLC27A4	NA	NA
NDUFS5	NA	NA
SCFD2	NA	NA
DOLK	NA	NA
IRF2BP1	NA	NA
CHP1	NA	NA
TAMM41	NA	NA
NOC2L	NA	NA
TM9SF2	NA	NA
FH	NA	NA
THG1L	NA	NA
ATP6V1D	NA	NA
ZW10	NA	NA
PDAP1	NA	NA
NARS	NA	NA
GINS1	NA	NA
ALAD	NA	NA
MNAT1	NA	NA
THOC7	NA	NA
TRIM50	NA	NA
DNM1L	NA	NA
ELK1	NA	NA
LDHA	NA	NA
C14orf166	NA	NA
LCLAT1	NA	NA
CCNB3	NA	NA
DHX34	NA	NA
RETN	NA	NA
PPFIBP1	NA	NA
DDRGK1	NA	NA
DTYMK	NA	NA
LARP6	NA	NA
FLAD1	NA	NA
CDKN2D	NA	NA
TTK	NA	NA
FDXR	NA	NA
ZNF232	NA	NA
FOXRED1	NA	NA
PPP1CC	NA	NA
GRIN2D	NA	NA
OTUD5	NA	NA
CACNA1F	NA	NA
SLC25A33	NA	NA
MRPL44	NA	NA
NONO	NA	NA
CUL2	NA	NA
STRADA	NA	NA
INIP	NA	NA
MAGOHB	NA	NA
NDUFAF6	NA	NA
MCM6	NA	NA
DHFR	NA	NA
ERCC2	NA	NA
ZMYM3	NA	NA
GTF2A2	NA	NA
ACR	NA	NA
TBCE	NA	NA
NMT1	NA	NA
TAF5	NA	NA
AP2B1	NA	NA
PDCD10	NA	NA
PQBP1	NA	NA
ELP5	NA	NA
ABCB7	NA	NA
FBXO33	NA	NA
EIF4ENIF1	NA	NA
ZNF407	NA	NA
WEE1	NA	NA
UBE2I	NA	NA
DEAF1	NA	NA
STIL	NA	NA
ELMOD2	NA	NA
ACAD9	NA	NA
VPS45	NA	NA
PRR12	NA	NA
HSP90B1	NA	NA
MRPL23	NA	NA
EIF5AL1	NA	NA
PDIA6	NA	NA
GAPDH	NA	NA
PAPOLG	NA	NA
DYNC1I2	NA	NA
PPP2R5C	NA	NA
ZFYVE20	NA	NA
RAD21	NA	NA
SCNM1	NA	NA
CYB5R4	NA	NA
CHCHD4	NA	NA
IL25	NA	NA
DVL2	NA	NA
DDX11	NA	NA
CHD7	NA	NA
TRAPPC11	NA	NA
FBXW7	NA	NA
HYOU1	NA	NA
RPIA	NA	NA
PYCR1	NA	NA
COPS7A	NA	NA
C17orf70	NA	NA
SLC6A4	NA	NA
SMC1A	NA	NA
WDR47	NA	NA
RER1	NA	NA
TKT	NA	NA
GABPB1	NA	NA
PPM1A	NA	NA
CALML4	NA	NA
NDUFV2	NA	NA
VPS51	NA	NA
TTC14	NA	NA
ATP6V1F	NA	NA
CNOT3	NA	NA
FAM25E	NA	NA
UBE2L3	NA	NA
EIF4A3	NA	NA
TAF6	NA	NA
AP2A1	NA	NA
UQCRC2	NA	NA
RAB2A	NA	NA
INTS3	NA	NA
BECN1	NA	NA
NUAK1	NA	NA
TNR	NA	NA
NUP210L	NA	NA
MSI2	NA	NA
GMPS	NA	NA
PRKRIR	NA	NA
OR4K1	NA	NA
CSE1L	NA	NA
ZXDA	NA	NA
C1QTNF8	NA	NA
SOD2	NA	NA
PSIP1	NA	NA
TECPR2	NA	NA
WASF2	NA	NA
MCM3	NA	NA
YKT6	NA	NA
SPATA2	NA	NA
C19orf40	NA	NA
USP19	NA	NA
MTDH	NA	NA
MRE11A	NA	NA
KCNE4	NA	NA
C2orf42	NA	NA
UGGT1	NA	NA
DBR1	NA	NA
CACNA1H	NA	NA
TMEM14C	NA	NA
ARHGDIA	NA	NA
ZC3HAV1	NA	NA
PLRG1	NA	NA
NDE1	NA	NA
UBE2A	NA	NA
NCOA3	NA	NA
GTPBP10	NA	NA
SMG5	NA	NA
C4orf19	NA	NA
PPP1R1A	NA	NA
RPE	NA	NA
OR4D6	NA	NA
DNAJB6	NA	NA
UQCRC1	NA	NA
KPNA2	NA	NA
HLCS	NA	NA
UBL4A	NA	NA
LYRM4	NA	NA
SMCHD1	NA	NA
RPP30	NA	NA
GEM	NA	NA
PARS2	NA	NA
PAWR	NA	NA
PPP1CA	NA	NA
SMG6	NA	NA
DDX28	NA	NA
LIMS1	NA	NA
ITGA4	NA	NA
SIVA1	NA	NA
SEC24C	NA	NA
UBN1	NA	NA
CDC6	NA	NA
TMEM248	NA	NA
IGBP1	NA	NA
ALYREF	NA	NA
STOML2	NA	NA
FLYWCH1	NA	NA
QTRT1	NA	NA
POLE2	NA	NA
MRPL30	NA	NA
GDI2	NA	NA
SPIDR	NA	NA
CREBBP	NA	NA
CIR1	NA	NA
DAPK3	NA	NA
B3GALT6	NA	NA
DPM2	NA	NA
SOWAHC	NA	NA
DDR1	NA	NA
SRM	NA	NA
DNAJC17	NA	NA
ZDHHC16	NA	NA
PBX1	NA	NA
SLC26A6	NA	NA
PIGW	NA	NA
NCAPH	NA	NA
OTUB1	NA	NA
VAC14	NA	NA
PUS3	NA	NA
HSP90AB1	NA	NA
GAK	NA	NA
LIN28A	NA	NA
INTS2	NA	NA
C9orf16	NA	NA
FOXJ3	NA	NA
MIER1	NA	NA
NAE1	NA	NA
ABCC1	NA	NA
GLRX5	NA	NA
TTI1	NA	NA
PRODH	NA	NA
PPWD1	NA	NA
ZSWIM4	NA	NA
FAR1	NA	NA
FOXO3	NA	NA
BCAS2	NA	NA
CNNM4	NA	NA
COG5	NA	NA
HTATSF1	NA	NA
ORAOV1	NA	NA
XRCC1	NA	NA
SH2D7	NA	NA
ZNF33A	NA	NA
YRDC	NA	NA
SUCLG1	NA	NA
PILRB	NA	NA
NDUFS2	NA	NA
DPAGT1	NA	NA
SSBP2	NA	NA
CTAGE5	NA	NA
SCAI	NA	NA
ANAPC4	NA	NA
PDK2	NA	NA
CDC45	NA	NA
SPC25	NA	NA
PVRL2	NA	NA
VPS18	NA	NA
TUBGCP2	NA	NA
MIA3	NA	NA
DDIT4	NA	NA
TXNDC17	NA	NA
MRPL35	NA	NA
NDUFAF4	NA	NA
MSL3	NA	NA
QTRTD1	NA	NA
NTRK3	NA	NA
CHTOP	NA	NA
HNRNPD	NA	NA
SRP68	NA	NA
CLTC	NA	NA
BRSK2	NA	NA
MRPL13	NA	NA
ELMSAN1	NA	NA
MRPL52	NA	NA
ZDHHC7	NA	NA
CLK3	NA	NA
NCAPD3	NA	NA
C22orf42	NA	NA
TIMM23	NA	NA
MAML1	NA	NA
MCM2	NA	NA
CD180	NA	NA
NUDT21	NA	NA
HMGCR	NA	NA
LSM14A	NA	NA
SRSF1	NA	NA
DNMT3B	NA	NA
POLD3	NA	NA
SLC30A9	NA	NA
NDUFS3	NA	NA
VMA21	NA	NA
NPC1	NA	NA
YARS2	NA	NA
POLR1D	NA	NA
SKP1	NA	NA
SEMA4D	NA	NA
RNF40	NA	NA
IMP3	NA	NA
CARM1	NA	NA
MYPOP	NA	NA
NEUROD1	NA	NA
TAF13	NA	NA
NDUFAB1	NA	NA
COX19	NA	NA
MMGT1	NA	NA
SDHC	NA	NA
DENND2D	NA	NA
DHX15	NA	NA
ORC3	NA	NA
CDC14A	NA	NA
RAD54L	NA	NA
MRPL18	NA	NA
HPS6	NA	NA
SLAMF9	NA	NA
S100A3	NA	NA
TGM1	NA	NA
CWC27	NA	NA
TMEM40	NA	NA
TOR1A	NA	NA
GEMIN6	NA	NA
EPC2	NA	NA
VSX1	NA	NA
MRPL53	NA	NA
NCOR1	NA	NA
STRA6	NA	NA
MTMR9	NA	NA
PSMA6	NA	NA
IL12RB1	NA	NA
TLK1	NA	NA
SACM1L	NA	NA
ATP6V1C1	NA	NA
STX5	NA	NA
MRPL34	NA	NA
ARFRP1	NA	NA
DHX58	NA	NA
THAP3	NA	NA
TMEM179	NA	NA
STT3A	NA	NA
RING1	NA	NA
TMEM45A	NA	NA
ZNF689	NA	NA
FZR1	NA	NA
CCDC71	NA	NA
MUCL1	NA	NA
CLTCL1	NA	NA
CAD	NA	NA
CCDC61	NA	NA
ZFC3H1	NA	NA
ERF	NA	NA
GLUD1	NA	NA
PMVK	NA	NA
ALG11	NA	NA
CEP85	NA	NA
FTSJ1	NA	NA
SEC61A2	NA	NA
DCP2	NA	NA
CLDN4	NA	NA
HCFC1	NA	NA
UBA1	NA	NA
GRSF1	NA	NA
GORASP2	NA	NA
ZNF629	NA	NA
SUOX	NA	NA
SNAPC3	NA	NA
PPP6C	NA	NA
FSIP1	NA	NA
CD36	NA	NA
SLC22A8	NA	NA
B3GAT3	NA	NA
WDR70	NA	NA
PQLC2	NA	NA
CPNE7	NA	NA
ZC3H14	NA	NA
UBR5	NA	NA
YAE1D1	NA	NA
PYGO2	NA	NA
DNAJC3	NA	NA
HSD17B10	NA	NA
PI4K2B	NA	NA
NR2F6	NA	NA
COX6A1P2	NA	NA
LDB1	NA	NA
G6PD	NA	NA
GHR	NA	NA
XRN2	NA	NA
CAPZB	NA	NA
USP46	NA	NA
FBXO42	NA	NA
ZER1	NA	NA
GPATCH8	NA	NA
MRPS33	NA	NA
BCL2L2	NA	NA
MIIP	NA	NA
LUC7L	NA	NA
SLC5A7	NA	NA
TFAM	NA	NA
NDUFA9	NA	NA
ZEB2	NA	NA
CCAR2	NA	NA
PCBP1	NA	NA
MRPL2	NA	NA
AP1B1	NA	NA
CKS2	NA	NA
BRWD3	NA	NA
ATP2C1	NA	NA
TBCK	NA	NA
PARP6	NA	NA
ZKSCAN1	NA	NA
GPS1	NA	NA
PET112	NA	NA
FUS	NA	NA
ATRX	NA	NA
RBM14	NA	NA
EEFSEC	NA	NA
ELP3	NA	NA
TRIP12	NA	NA
TXNDC11	NA	NA
C20orf196	NA	NA
IK	NA	NA
EXOSC6	NA	NA
MRPL38	NA	NA
PTPMT1	NA	NA
LMAN1L	NA	NA
TAF2	NA	NA
C14orf79	NA	NA
NDUFB2	NA	NA
EPHA1	NA	NA
TRMT61A	NA	NA
ZNF638	NA	NA
TMEM41B	NA	NA
NFS1	NA	NA
BNIP1	NA	NA
ZC3H3	NA	NA
SNRPD2	NA	NA
PPP1R21	NA	NA
SYNDIG1L	NA	NA
DLGAP3	NA	NA
FDX1L	NA	NA
